Apples,Bananas,Grapes,PeachesNectarines,Strawberries,OtherBerries,Citrus,Melons,OtherFruit,Pears,Tomatoes,Carrots,Broccoli,Spinach,Lettuce,StringBeans,Cabbage,Onions,Corn,OtherVeg,Potatoes
NA,NA,NA,NA,NA,NA,NA,NA,62104100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75202022,71508020
NA,NA,NA,NA,NA,NA,NA,NA,62105000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75202023,71508025
NA,NA,NA,NA,NA,NA,NA,NA,62106000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75202027,71508030
NA,NA,NA,NA,NA,NA,NA,NA,62107200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75202028,71508035
NA,NA,NA,NA,NA,NA,NA,NA,62108100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75202031,71400990
NA,NA,NA,NA,NA,NA,NA,NA,62109100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75202032,71401000
NA,NA,NA,NA,NA,NA,NA,NA,62110100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75202034,71401010
NA,NA,NA,NA,NA,NA,NA,NA,62113100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75202035,71401015
NA,NA,NA,NA,NA,NA,NA,NA,62114050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75203028,71401020
NA,NA,NA,NA,NA,NA,NA,NA,62114110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75207021,71401030
NA,NA,NA,NA,NA,NA,NA,NA,62116100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75208011,71401031
NA,NA,NA,NA,NA,NA,NA,NA,62119100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75208013,71401032
NA,NA,NA,NA,NA,NA,NA,NA,62120000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75208020,71401033
NA,NA,NA,NA,NA,NA,NA,NA,62120100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75208021,71401039
NA,NA,NA,NA,NA,NA,NA,NA,62122100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75208023,71401041
NA,NA,NA,NA,NA,NA,NA,NA,62125100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75208110,71401045
NA,NA,NA,NA,NA,NA,NA,NA,62126000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75208310,71401050
NA,NA,NA,NA,NA,NA,NA,NA,63141010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75208720,71402500
NA,NA,NA,NA,NA,NA,NA,NA,63141110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75209011,71402510
NA,NA,NA,NA,NA,NA,NA,NA,63141140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75209012,71402520
NA,NA,NA,NA,NA,NA,NA,NA,63141170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75209020,71403020
NA,NA,NA,NA,NA,NA,NA,NA,63141200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75209021,71403030
NA,NA,NA,NA,NA,NA,NA,NA,63129010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75209022,71403040
NA,NA,NA,NA,NA,NA,NA,NA,63129030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75209501,71403050
NA,NA,NA,NA,NA,NA,NA,NA,63129050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75213110,71403500
NA,NA,NA,NA,NA,NA,NA,NA,63133010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75213120,71404000
NA,NA,NA,NA,NA,NA,NA,NA,63133100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75214011,71404010
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75214012,71404020
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75214020,71404030
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75214021,71404040
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75214022,71404050
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75214027,71405010
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75214028,71405019
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75214030,71405030
