0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
26986120.50802015,12413874.51506875,9216813.78603415,11511823.9383755,63064334.314907,12795408.31781875,8645526.92879155,6414798.07436445,14203001.11062565,11121691.9401646,11699975.71430095,15722198.6390137,33145594.3430449,18612640.8904467,8486015.84303745,10007707.97986045
54285524.602403924,23575763.38337337,16159948.280303635,25695022.891255297,159560797.44269562,29077187.293448992,17014108.881248727,12335727.228971675,33152466.999901697,23626231.601478763,26226453.15943639,31420347.67773942,79831507.66884758,36994401.99723467,14762801.925754279,20491955.795312673
56218773.21249443,13564464.085154198,12082463.476986138,13498745.438689996,184254123.99655554,16460495.4829216,12433603.788946718,10515427.022454768,16879762.016973212,13305979.59623067,15346621.630121069,16348968.270089947,95392780.16084829,15544839.006417792,10910793.489417888,13460454.83349383
36696190.47078814,15571781.535701733,11802227.182416217,17545020.5320506,85012650.10214081,24256613.865175184,11404260.758133264,9841749.55256798,26866812.680811286,15569202.21122089,21594089.046217162,19511000.28679288,46764865.97479149,23338329.64167525,9694285.809255447,16649604.655423835
23566838.4923423,7907115.925495362,6879682.521760678,10497707.379261987,67538079.20630383,10805815.733562835,9030242.526284676,6291136.091898658,14130307.591293562,8591907.920641162,12015841.526435405,12154619.77951476,36540916.45425567,11926297.679672187,6219426.85314486,7647387.44496456
34521767.288175404,12003696.663398318,9158056.429339822,15443875.03931249,92239467.7204707,14586974.275612488,12692937.276585482,5587262.322223786,18941588.58558102,11959639.333114754,22655714.83420054,18629282.25362858,59315134.89984034,18102728.35889316,8113030.121883328,12851747.190989245
27524786.190768927,9290792.11232515,9350179.484883368,12935837.259672644,77091679.82963724,12778202.921426468,9950260.981660375,7447849.496334323,13587991.53146978,9678743.89248525,20445446.029886022,14984701.82831461,49437460.5236293,14057666.655327868,7722849.218606358,9201324.738331726
27508649.189389117,9231176.855222631,6666405.634424505,12467523.188770179,75206087.25933722,15701998.320081629,7896632.37579499,4399067.588900878,11681760.969668344,8876753.864504326,16549036.00800009,12461339.613198284,42586037.497054085,12050558.03834383,7951321.617171685,8495944.544422008
29513209.976219952,10093117.261169042,6106496.264680486,11784923.642147668,76825748.48143888,16071923.853480028,6495377.5082063,1230679.437362906,12355000.71101791,10706241.215024702,17044313.03089458,13526164.220741548,43939083.249065034,14343672.872930266,5358760.309809258,8086636.053888552
36773237.96577288,12848225.315631,11529856.357019274,15392066.591897463,86877884.36709557,16620063.652708676,11836377.308338031,6051803.594631207,15024363.396373272,14529939.108977625,27614184.34138379,20420114.7674346,60773127.18931664,19506028.384431645,6563970.227724375,9529428.928886123
34918385.991734736,12852493.682663424,10865097.479467627,17490328.284417722,82613600.90978777,15071575.239905825,11864956.047630746,7961361.17806972,15344999.665813819,11847178.960099975,23207159.92594742,20214966.21477347,57660840.75835101,19321083.39919182,7035107.53655084,10982272.002017118
54073502.85014064,19359339.618752465,14379823.205539683,28049648.36966934,123153363.07743429,28374117.768200703,15144866.236012775,8775614.264225058,25151194.261534154,20370812.623624895,29344107.848419167,30647907.00272593,78965761.02200645,27353848.82501121,16224388.765326465,20403982.927356325
57142660.59676063,18729578.28766549,16326258.923329115,29330251.236643657,109312202.50649402,27378370.636191368,16271422.522422465,9681016.927320277,24031491.350488536,20130262.7286523,28236996.426912546,30265912.341126446,66529297.381700054,26028834.412915103,12596000.591475021,15962141.008829124
43760037.67415972,15286103.349994631,11765900.946446631,25014569.835543454,91753104.4952805,19362236.506776333,12798386.634312404,9002804.718673393,20698371.90093138,16593197.57047227,18871101.849338368,25941276.76387486,53377151.71739517,20697038.912046704,9368079.092282485,9138427.227136321
43664844.62507602,17192386.26510805,9239975.773587413,27566618.474277683,96367042.1977573,23126067.518557727,17557584.266651675,6643578.960179927,23273106.04526137,18236755.045360073,19565577.026755106,29335338.023880284,61585089.243876114,23686194.38710352,8320414.389563939,12211765.978910975
60503306.478212774,22349734.37420944,11909243.69193216,35092638.09509115,112195761.83260778,32672829.930168025,28070533.040957704,7523390.310601089,25664262.98251793,25465355.831066296,23945891.137933925,32094897.9155095,76818351.09516804,29046889.30178336,12467469.377975166,17020587.90467611
60912711.00627589,21730880.504644625,14538986.257758077,29599780.83936554,128226922.33077359,35140240.96251199,27867784.633103147,10887947.668570925,30744099.012829483,30216321.85838864,23808180.45472971,31437219.892097834,74212703.17345254,28368200.770101085,12921481.561064065,18551474.898500502
33495152.305247765,9535731.916244354,8408643.925459312,17821239.226452496,74279440.05355379,19120606.947983537,12232745.859277366,4229662.541951934,20321567.637130443,16887092.986763597,19439748.84883942,17025506.590905,41423956.172002435,13471199.942860149,5611884.0534736905,13637728.53915364
